id,funnel_name,event_name,date_
6135429,guest_onboarding_funnel,country_screen_launch,2022-03-01
6135429,guest_onboarding_funnel,grade_screen_launch,2022-03-01
4919104,registered_onboarding_funnel,name_screen_launch,2022-03-01
4919104,registered_onboarding_funnel,user_signed_up,2022-03-01
4502476,registered_onboarding_funnel,name_screen_launch,2022-03-01
99241,registered_onboarding_funnel,first_app_open,2022-03-01
99241,registered_onboarding_funnel,grade_screen_launch,2022-03-01
99241,registered_onboarding_funnel,gender_screen_launch,2022-03-01
98337,registered_onboarding_funnel,name_screen_launch,2022-03-01
96775,guest_onboarding_funnel,country_screen_launch,2022-03-01
96775,registered_onboarding_funnel,first_app_open,2022-03-01
96581,guest_onboarding_funnel,country_screen_launch,2022-03-01
96581,registered_onboarding_funnel,first_app_open,2022-03-01
96581,registered_onboarding_funnel,otp_verified,2022-03-01
96581,registered_onboarding_funnel,name_screen_launch,2022-03-01
96566,registered_onboarding_funnel,otp_verified,2022-03-01
96566,registered_onboarding_funnel,grade_screen_launch,2022-03-01
95699,registered_onboarding_funnel,grade_screen_launch,2022-03-01
95699,registered_onboarding_funnel,user_signed_up,2022-03-01
95232,registered_onboarding_funnel,first_app_open,2022-03-01
94229,registered_onboarding_funnel,otp_verified,2022-03-01
93522,registered_onboarding_funnel,first_app_open,2022-03-01
93220,registered_onboarding_funnel,gender_screen_launch,2022-03-01
93189,registered_onboarding_funnel,first_app_open,2022-03-01
92220,registered_onboarding_funnel,gender_screen_launch,2022-03-01
92143,registered_onboarding_funnel,first_app_open,2022-03-01
91636,registered_onboarding_funnel,phone_entered,2022-03-01
91636,registered_onboarding_funnel,gender_screen_launch,2022-03-01
91241,guest_onboarding_funnel,grade_screen_launch,2022-03-01
90551,registered_onboarding_funnel,first_app_open,2022-03-01
87238,registered_onboarding_funnel,phone_entered,2022-03-01
87238,registered_onboarding_funnel,user_signed_up,2022-03-01
86987,registered_onboarding_funnel,first_app_open,2022-03-01
85771,registered_onboarding_funnel,first_app_open,2022-03-01
85681,registered_onboarding_funnel,name_screen_launch,2022-03-01
85681,registered_onboarding_funnel,gender_screen_launch,2022-03-01
84469,registered_onboarding_funnel,first_app_open,2022-03-01
84418,guest_onboarding_funnel,entered_dashboard,2022-03-01
84183,registered_onboarding_funnel,grade_screen_launch,2022-03-01
83308,guest_onboarding_funnel,entered_dashboard,2022-03-01
83171,registered_onboarding_funnel,first_app_open,2022-03-01
82995,registered_onboarding_funnel,first_app_open,2022-03-01
82812,guest_onboarding_funnel,entered_dashboard,2022-03-01
81815,guest_onboarding_funnel,entered_dashboard,2022-03-01
81184,guest_onboarding_funnel,grade_screen_launch,2022-03-01
80724,registered_onboarding_funnel,first_app_open,2022-03-01
78291,registered_onboarding_funnel,first_app_open,2022-03-01
77578,guest_onboarding_funnel,entered_dashboard,2022-03-01
77578,registered_onboarding_funnel,first_app_open,2022-03-01
77578,registered_onboarding_funnel,phone_entered,2022-03-01
77578,registered_onboarding_funnel,gender_screen_launch,2022-03-01
77578,registered_onboarding_funnel,user_signed_up,2022-03-01
77102,guest_onboarding_funnel,entered_dashboard,2022-03-01
76834,guest_onboarding_funnel,entered_dashboard,2022-03-01
76834,registered_onboarding_funnel,first_app_open,2022-03-01
76045,registered_onboarding_funnel,first_app_open,2022-03-01
75989,registered_onboarding_funnel,first_app_open,2022-03-01
74024,registered_onboarding_funnel,first_app_open,2022-03-01
73998,registered_onboarding_funnel,first_app_open,2022-03-01
73998,registered_onboarding_funnel,grade_screen_launch,2022-03-01
73935,guest_onboarding_funnel,entered_dashboard,2022-03-01
73935,registered_onboarding_funnel,gender_screen_launch,2022-03-01
73837,guest_onboarding_funnel,entered_dashboard,2022-03-01
73837,registered_onboarding_funnel,phone_entered,2022-03-01
73837,registered_onboarding_funnel,otp_verified,2022-03-01
73837,registered_onboarding_funnel,name_screen_launch,2022-03-01
73837,registered_onboarding_funnel,grade_screen_launch,2022-03-01
73837,registered_onboarding_funnel,user_signed_up,2022-03-01
73802,registered_onboarding_funnel,name_screen_launch,2022-03-01
73802,registered_onboarding_funnel,gender_screen_launch,2022-03-01
73722,guest_onboarding_funnel,entered_dashboard,2022-03-01
73722,registered_onboarding_funnel,first_app_open,2022-03-01
73005,guest_onboarding_funnel,entered_dashboard,2022-03-01
73005,guest_onboarding_funnel,grade_screen_launch,2022-03-01
72785,registered_onboarding_funnel,phone_entered,2022-03-01
72568,registered_onboarding_funnel,first_app_open,2022-03-01
71122,registered_onboarding_funnel,gender_screen_launch,2022-03-01
69796,registered_onboarding_funnel,first_app_open,2022-03-01
69145,guest_onboarding_funnel,entered_dashboard,2022-03-01
69123,registered_onboarding_funnel,gender_screen_launch,2022-03-01
67926,registered_onboarding_funnel,phone_entered,2022-03-01
67715,registered_onboarding_funnel,otp_verified,2022-03-01
67715,registered_onboarding_funnel,name_screen_launch,2022-03-01
66549,registered_onboarding_funnel,first_app_open,2022-03-01
66255,registered_onboarding_funnel,phone_entered,2022-03-01
63879,registered_onboarding_funnel,grade_screen_launch,2022-03-01
63879,registered_onboarding_funnel,gender_screen_launch,2022-03-01
63879,registered_onboarding_funnel,user_signed_up,2022-03-01
63656,guest_onboarding_funnel,country_screen_launch,2022-03-01
63280,registered_onboarding_funnel,first_app_open,2022-03-01
62642,registered_onboarding_funnel,first_app_open,2022-03-01
61908,registered_onboarding_funnel,phone_entered,2022-03-01
61833,registered_onboarding_funnel,otp_verified,2022-03-01
61672,registered_onboarding_funnel,first_app_open,2022-03-01
60953,registered_onboarding_funnel,gender_screen_launch,2022-03-01
60777,guest_onboarding_funnel,country_screen_launch,2022-03-01
60600,registered_onboarding_funnel,phone_entered,2022-03-01
60600,registered_onboarding_funnel,name_screen_launch,2022-03-01
59933,registered_onboarding_funnel,otp_verified,2022-03-01
59933,registered_onboarding_funnel,name_screen_launch,2022-03-01
59933,registered_onboarding_funnel,user_signed_up,2022-03-01
59910,guest_onboarding_funnel,entered_dashboard,2022-03-01
59910,registered_onboarding_funnel,phone_entered,2022-03-01
59875,registered_onboarding_funnel,first_app_open,2022-03-01
59436,guest_onboarding_funnel,grade_screen_launch,2022-03-01
59436,registered_onboarding_funnel,first_app_open,2022-03-01
59171,registered_onboarding_funnel,name_screen_launch,2022-03-01
59171,registered_onboarding_funnel,user_signed_up,2022-03-01
58851,registered_onboarding_funnel,first_app_open,2022-03-01
58851,registered_onboarding_funnel,grade_screen_launch,2022-03-01
58355,guest_onboarding_funnel,entered_dashboard,2022-03-01
58355,registered_onboarding_funnel,phone_entered,2022-03-01
58355,registered_onboarding_funnel,otp_verified,2022-03-01
58355,registered_onboarding_funnel,grade_screen_launch,2022-03-01
58202,registered_onboarding_funnel,first_app_open,2022-03-01
57305,guest_onboarding_funnel,country_screen_launch,2022-03-01
57305,guest_onboarding_funnel,grade_screen_launch,2022-03-01
57305,registered_onboarding_funnel,phone_entered,2022-03-01
57305,registered_onboarding_funnel,name_screen_launch,2022-03-01
56703,registered_onboarding_funnel,grade_screen_launch,2022-03-01
56703,registered_onboarding_funnel,gender_screen_launch,2022-03-01
56493,registered_onboarding_funnel,phone_entered,2022-03-01
56493,registered_onboarding_funnel,otp_verified,2022-03-01
55213,registered_onboarding_funnel,phone_entered,2022-03-01
55213,registered_onboarding_funnel,gender_screen_launch,2022-03-01
55192,registered_onboarding_funnel,first_app_open,2022-03-01
55192,registered_onboarding_funnel,phone_entered,2022-03-01
54032,guest_onboarding_funnel,country_screen_launch,2022-03-01
53877,registered_onboarding_funnel,name_screen_launch,2022-03-01
53877,registered_onboarding_funnel,grade_screen_launch,2022-03-01
53745,registered_onboarding_funnel,phone_entered,2022-03-01
52511,registered_onboarding_funnel,first_app_open,2022-03-01
52511,registered_onboarding_funnel,otp_verified,2022-03-01
52511,registered_onboarding_funnel,grade_screen_launch,2022-03-01
51953,guest_onboarding_funnel,entered_dashboard,2022-03-01
51953,registered_onboarding_funnel,first_app_open,2022-03-01
51953,registered_onboarding_funnel,otp_verified,2022-03-01
51256,registered_onboarding_funnel,gender_screen_launch,2022-03-01
50993,registered_onboarding_funnel,otp_verified,2022-03-01
50171,registered_onboarding_funnel,otp_verified,2022-03-01
50171,registered_onboarding_funnel,grade_screen_launch,2022-03-01
50099,registered_onboarding_funnel,first_app_open,2022-03-01
49098,guest_onboarding_funnel,grade_screen_launch,2022-03-01
48440,guest_onboarding_funnel,entered_dashboard,2022-03-01
48440,registered_onboarding_funnel,first_app_open,2022-03-01
48440,registered_onboarding_funnel,gender_screen_launch,2022-03-01
48305,registered_onboarding_funnel,phone_entered,2022-03-01
48305,registered_onboarding_funnel,gender_screen_launch,2022-03-01
47431,guest_onboarding_funnel,entered_dashboard,2022-03-01
47431,registered_onboarding_funnel,first_app_open,2022-03-01
47431,registered_onboarding_funnel,phone_entered,2022-03-01
47431,registered_onboarding_funnel,otp_verified,2022-03-01
47431,registered_onboarding_funnel,user_signed_up,2022-03-01
46798,guest_onboarding_funnel,grade_screen_launch,2022-03-01
46369,registered_onboarding_funnel,phone_entered,2022-03-01
46369,registered_onboarding_funnel,otp_verified,2022-03-01
46307,registered_onboarding_funnel,user_signed_up,2022-03-01
45538,registered_onboarding_funnel,user_signed_up,2022-03-01
45451,registered_onboarding_funnel,first_app_open,2022-03-01
45276,registered_onboarding_funnel,otp_verified,2022-03-01
45276,registered_onboarding_funnel,user_signed_up,2022-03-01
42678,guest_onboarding_funnel,country_screen_launch,2022-03-01
41693,registered_onboarding_funnel,grade_screen_launch,2022-03-01
41693,registered_onboarding_funnel,gender_screen_launch,2022-03-01
41035,registered_onboarding_funnel,first_app_open,2022-03-01
40993,guest_onboarding_funnel,country_screen_launch,2022-03-01
40993,registered_onboarding_funnel,first_app_open,2022-03-01
40270,guest_onboarding_funnel,entered_dashboard,2022-03-01
40270,registered_onboarding_funnel,otp_verified,2022-03-01
40270,registered_onboarding_funnel,name_screen_launch,2022-03-01
39383,registered_onboarding_funnel,first_app_open,2022-03-01
38156,registered_onboarding_funnel,first_app_open,2022-03-01
38089,registered_onboarding_funnel,name_screen_launch,2022-03-01
38089,registered_onboarding_funnel,gender_screen_launch,2022-03-01
38078,registered_onboarding_funnel,first_app_open,2022-03-01
37377,registered_onboarding_funnel,otp_verified,2022-03-01
37377,registered_onboarding_funnel,gender_screen_launch,2022-03-01
36942,registered_onboarding_funnel,otp_verified,2022-03-01
36849,guest_onboarding_funnel,entered_dashboard,2022-03-01
